x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight,naturalHeight,waterHeight,flowX,flowY
-131072,-131072,-67.374146,0.79759556,0.002782786,0.87354445,0.12367278,0.16633344,-297.33722,894.5296,-67.374146,-67.374146,0,0,0
-126976,-131072,571.22253,0.81383306,0.03454481,0,0.9654552,0.34097683,-48.000004,1690.7107,571.22253,571.22253,0,0,0
-122880,-131072,1037.8676,0.8305642,0.54565805,0,0.45434195,0.35830522,-91.51819,3670.1543,1037.8676,1037.8676,0,0,0
-118784,-131072,1121.4722,0.84728646,0.7771269,0.19405422,0.028818876,0.48901063,-48.000004,3485.634,1121.4722,1121.4722,0,0,0
-114688,-131072,1629.9429,0.8635422,0.8172063,0.18279368,0,0.23152395,-48.000004,4071.0898,1629.9429,1629.9429,0,0,0
-110592,-131072,2073.012,0.8789289,0.85249645,0.14750355,0,0.34343407,-48.000004,3968.4302,2073.012,2073.012,0,0,0
-106496,-131072,2348.016,0.89311016,0.8824349,0.116835915,0.0007291809,0.07867473,-48.000004,4260.0254,2348.016,2348.016,0,0,0
-102400,-131072,2566.532,0.90581834,0.9069243,0.09300276,7.293373E-05,0.17162459,-48.000004,4183.6294,2566.532,2566.532,0,0,0
-98304,-131072,2783.6804,0.9168545,0.92623866,0.073761344,0,0.20643438,-48.000004,4432.141,2783.6804,2783.6804,0,0,0
-94208,-131072,2819.0525,0.926081,0.94089407,0.059105933,0,0.4205599,-48.000004,4322.369,2819.0525,2819.0525,0,0,0
-90112,-131072,2688.9263,0.93340796,0.95151085,0.048489153,0,0.38641933,-48.000004,4316.8955,2688.9263,2688.9263,0,0,0
-86016,-131072,2341.212,0.9387698,0.9586833,0.041316688,0,0.18811369,-48.000004,4188.581,2341.212,2341.212,0,0,0
-81920,-131072,47.255806,0.94209754,0,1,0,0.021937668,-48.000004,93.43442,47.255806,47.255806,0,0,0
-77824,-131072,58.253387,0.9432812,0,1,0,0.02179108,-48.000004,104.176834,58.253387,58.253387,0,0,0
-73728,-131072,51.02249,0.94334793,0,1,0,0.021330908,-48.000004,96.67456,51.02249,51.02249,0,0,0
-69632,-131072,52.607883,0.94354296,0,1,0,0.020357464,-48.000004,98.22492,52.607883,52.607883,0,0,0
-65536,-131072,50.590908,0.9438512,0,1,0,0.017518481,-48.000004,101.37646,50.590908,50.590908,0,0,0
-61440,-131072,46.787598,0.94425654,0,0.9999992,7.748604E-07,0.01355117,-48.000004,161.92279,46.787598,46.787598,0,0,0
-57344,-131072,224.67989,0.9447433,0,0.44029444,0.55970556,0.081942536,-92.91885,761.537,224.67989,224.67989,0,0,0
-53248,-131072,757.5354,0.9452955,0,0,1,0.50054246,-48.000004,1041.6539,757.5354,757.5354,0,0,0
-49152,-131072,883.5139,0.94589764,0,0,1,0.1882347,-48.000004,1043.4395,883.5139,883.5139,0,0,0
-45056,-131072,620.4164,0.9465338,0,0,1,0.03701735,-48.000004,908.5487,620.4164,620.4164,0,0,0
-40960,-131072,705.1041,0.94718903,0,0,1,0.23665208,-48.000004,947.34064,705.1041,705.1041,0,0,0
-36864,-131072,499.12967,0.94784814,0,0.30054057,0.69945943,0.49437365,-55.72284,988.3514,499.12967,499.12967,0,0,0
-32768,-131072,52.5803,0.94849646,0.0014159082,0.9985841,0,0.018964956,-48.000004,303.95694,52.5803,52.5803,0,0,0
-28672,-131072,853.33826,0.94911957,0.8388752,0.16112483,0,0.16823485,-48.000004,2937.878,853.33826,853.33826,0,0,0
-24576,-131072,1983.4578,0.94970363,0.9716791,0.025076766,0.003244143,0.7797917,-48.000004,2732.0752,1983.4578,2023.0071,0,0,0
-20480,-131072,359.98425,0.9502348,0.972253,0.01514428,0.012602695,0.51263964,-48.000004,3013.959,359.98425,1408.5072,0,0,0
-16384,-131072,1265.1272,0.9506995,0.9727508,0.02423741,0.0030118078,0.31994608,-48.000004,3763.8147,1265.1272,1285.8729,0,0,0
-12288,-131072,1919.2554,0.9510843,0.97315973,0.026829537,1.0732561E-05,0.3796452,-48.000004,4294.556,1919.2554,1919.2554,0,0,0
-8192,-131072,1480.5305,0.9513758,0.37528077,0.6244081,0.00031113625,0.7644773,-48.000004,4277.4517,1480.5305,1480.5305,0,0,0
-4096,-131072,111.68722,0.95156085,0,0.9414089,0.058591127,0.03643791,-50.375412,650.6436,111.68722,111.68722,0,0,0
